raceId,driverId,total_laps,avg_lap_time,total_race_time,lap_time_std,num_pit_stops,total_pit_time,driver_name,positionOrder,grid,points,statusId,circuitId,position_tier
8,16,59,85312.44067796611,5033434,4301.745965788643,0.0,0.0,Adrian Sutil,17,20,0.0,11,9,2
8,17,60,83075.26666666666,4984516,4447.29808991538,0.0,0.0,Mark Webber,2,3,8.0,1,9,0
8,18,60,83593.55,5015613,4287.025832553736,0.0,0.0,Jenson Button,6,6,3.0,1,9,1
8,20,60,82822.13333333333,4969328,4454.253820850916,0.0,0.0,Sebastian Vettel,1,1,10.0,1,9,0
8,21,60,84014.16666666667,5040850,4374.536756750159,0.0,0.0,Giancarlo Fisichella,10,16,0.0,1,9,1
8,22,60,83508.38333333333,5010503,4165.103657495647,0.0,0.0,Rubens Barrichello,3,2,6.0,1,9,0
8,67,59,85355.96610169491,5036002,4466.149243788947,0.0,0.0,Sébastien Buemi,18,19,0.0,11,9,2
9,1,59,99783.59322033898,5887232,10251.73501735975,0.0,0.0,Lewis Hamilton,18,5,0.0,11,20,2
9,2,60,97753.91666666667,5865235,4215.396856045084,0.0,0.0,Nick Heidfeld,10,11,0.0,1,20,1
9,3,60,97073.48333333334,5824409,4115.844277710417,0.0,0.0,Nico Rosberg,4,15,5.0,1,20,1
9,4,60,97136.63333333333,5828198,4263.754234047923,0.0,0.0,Fernando Alonso,7,12,2.0,1,20,1
9,5,60,97700.03333333334,5862002,4215.855008950992,0.0,0.0,Heikki Kovalainen,8,6,1.0,1,20,1
9,6,60,97769.76666666666,5866186,4267.523639352142,0.0,0.0,Kazuki Nakajima,12,13,0.0,1,20,2
9,7,18,102039.22222222222,1836706,12545.462332022005,0.0,0.0,Sébastien Bourdais,20,19,0.0,9,20,2
9,8,34,98640.61764705883,3353781,4758.603748711895,0.0,0.0,Kimi Räikkönen,19,9,0.0,5,20,2
9,9,60,97881.08333333333,5872865,4058.827631065473,0.0,0.0,Robert Kubica,14,16,0.0,1,20,2
9,10,60,97746.11666666667,5864767,3451.3971727092357,0.0,0.0,Timo Glock,9,20,0.0,1,20,1
9,12,60,97860.63333333333,5871638,4375.487691817102,0.0,0.0,Nelson Piquet Jr.,13,10,0.0,1,20,2
9,13,60,96986.93333333333,5819216,4031.4393563113144,0.0,0.0,Felipe Massa,3,8,6.0,1,20,0
9,15,60,98238.0,5894280,5074.216559717889,0.0,0.0,Jarno Trulli,17,14,0.0,1,20,2
9,16,60,97920.85,5875251,5550.798619667416,0.0,0.0,Adrian Sutil,15,7,0.0,1,20,2
9,17,60,96721.83333333333,5803310,4338.763329105275,0.0,0.0,Mark Webber,1,1,10.0,1,20,0
9,18,60,97115.31666666667,5826919,4631.791147818052,0.0,0.0,Jenson Button,5,3,4.0,1,20,1
9,20,60,96876.03333333334,5812562,4124.608558588549,0.0,0.0,Sebastian Vettel,2,4,8.0,1,20,0
9,21,60,97760.61666666667,5865637,4376.370669903947,0.0,0.0,Giancarlo Fisichella,11,18,0.0,1,20,2
9,22,60,97129.63333333333,5827778,5026.35266882582,0.0,0.0,Rubens Barrichello,6,2,3.0,1,20,1
9,67,60,98225.58333333333,5893535,4281.135522944726,0.0,0.0,Sébastien Buemi,16,17,0.0,1,20,2
10,1,70,84341.08571428571,5903876,4220.40787486562,0.0,0.0,Lewis Hamilton,1,4,10.0,1,11,0
10,2,70,85349.82857142857,5974488,4117.628658255595,0.0,0.0,Nick Heidfeld,11,15,0.0,1,11,2
10,3,70,84726.32857142857,5930843,4272.626659519365,0.0,0.0,Nico Rosberg,4,5,5.0,1,11,1
10,4,15,91834.06666666667,1377511,18591.5947078499,0.0,0.0,Fernando Alonso,18,1,0.0,36,11,2
10,5,70,84832.4,5938268,4102.451371798454,0.0,0.0,Heikki Kovalainen,5,6,4.0,1,11,1
10,6,70,85323.57142857143,5972650,3987.159428266972,0.0,0.0,Kazuki Nakajima,9,9,0.0,1,11,1
10,8,70,84505.78571428571,5915405,4527.65635024125,0.0,0.0,Kimi Räikkönen,2,7,8.0,1,11,0
10,9,70,85398.88571428572,5977922,4292.396883006304,0.0,0.0,Robert Kubica,13,18,0.0,1,11,2
10,10,70,84844.47142857143,5939113,3920.6060486902925,0.0,0.0,Timo Glock,6,13,3.0,1,11,1
10,12,70,85362.68571428572,5975388,4155.067862655341,0.0,0.0,Nelson Piquet Jr.,12,14,0.0,1,11,2
10,15,70,85314.97142857143,5972048,4222.507009875436,0.0,0.0,Jarno Trulli,8,11,1.0,1,11,1
10,16,1,104266.0,104266,,0.0,0.0,Adrian Sutil,19,17,0.0,25,11,2
10,17,70,84582.31428571428,5920762,4512.056642615399,0.0,0.0,Mark Webber,3,3,6.0,1,11,0
10,18,70,85128.05714285714,5958964,3934.864404365842,0.0,0.0,Jenson Button,7,8,2.0,1,11,1
10,20,29,88103.8275862069,2555011,9692.490163851322,0.0,0.0,Sebastian Vettel,17,2,0.0,22,11,2
10,21,69,85597.66666666667,5906239,4300.8273679630065,0.0,0.0,Giancarlo Fisichella,14,16,0.0,11,11,2
10,22,70,85330.45714285714,5973132,4014.8809020389276,0.0,0.0,Rubens Barrichello,10,12,0.0,1,11,1
10,67,69,86252.15942028986,5951399,4813.35718301377,0.0,0.0,Sébastien Buemi,16,10,0.0,11,11,2
10,153,69,85863.73913043478,5924598,4269.310629888121,0.0,0.0,Jaime Alguersuari,15,19,0.0,11,11,2
11,1,57,100941.17543859649,5753647,3663.6488745258503,0.0,0.0,Lewis Hamilton,2,1,8.0,1,12,0
11,2,57,101756.33333333333,5800111,3481.2136447618623,0.0,0.0,Nick Heidfeld,11,11,0.0,1,12,2
11,3,57,101265.94736842105,5772159,3302.5890461719205,0.0,0.0,Nico Rosberg,5,7,4.0,1,12,1
11,4,57,101386.54385964913,5779033,3305.648056574507,0.0,0.0,Fernando Alonso,6,8,3.0,1,12,1
11,5,57,101251.24561403508,5771321,3179.051505451076,0.0,0.0,Heikki Kovalainen,4,2,5.0,1,12,1
11,6,54,104360.0,5635440,15995.778393535413,0.0,0.0,Kazuki Nakajima,18,17,0.0,13,12,2
11,8,57,101180.40350877192,5767283,3275.25908931344,0.0,0.0,Kimi Räikkönen,3,6,6.0,1,12,0
11,9,57,101543.08771929824,5787956,3542.8809971582505,0.0,0.0,Robert Kubica,8,10,1.0,1,12,1
11,10,57,102417.68421052632,5837808,8573.591336102758,0.0,0.0,Timo Glock,14,13,0.0,1,12,2
11,15,57,102031.85964912281,5815816,3221.936897707185,0.0,0.0,Jarno Trulli,13,18,0.0,1,12,2
11,16,57,101740.77192982456,5799224,3531.2245600476467,0.0,0.0,Adrian Sutil,10,12,0.0,1,12,1
11,17,57,101687.70175438597,5796199,3596.4536151450275,0.0,0.0,Mark Webber,9,9,0.0,1,12,1
11,18,57,101512.31578947368,5786202,3375.0056622063357,0.0,0.0,Jenson Button,7,5,2.0,1,12,1
11,20,23,103360.08695652174,2377282,5660.266143060473,0.0,0.0,Sebastian Vettel,20,4,0.0,5,12,2
11,21,57,102015.84210526316,5814903,3103.151185197962,0.0,0.0,Giancarlo Fisichella,12,16,0.0,1,12,2
11,22,57,100899.80701754386,5751289,3179.775881806971,0.0,0.0,Rubens Barrichello,1,3,10.0,1,12,0
11,67,41,105225.14634146342,4314231,13258.411994958098,0.0,0.0,Sébastien Buemi,19,15,0.0,23,12,2
11,69,56,104165.58928571429,5833273,4645.193452383324,0.0,0.0,Luca Badoer,17,20,0.0,11,12,2
11,153,56,103541.60714285714,5798330,3762.385503802181,0.0,0.0,Jaime Alguersuari,16,19,0.0,11,12,2
11,154,57,102509.87719298246,5843063,5924.443849938809,0.0,0.0,Romain Grosjean,15,14,0.0,1,12,2
12,2,44,114597.06818181818,5042271,17397.17184633919,0.0,0.0,Nick Heidfeld,5,3,4.0,1,13,1
12,3,44,115163.70454545454,5067203,17131.682407749067,0.0,0.0,Nico Rosberg,8,10,1.0,1,13,1
12,4,26,120606.11538461539,3135759,22305.24461794027,0.0,0.0,Fernando Alonso,15,13,0.0,31,13,2
12,5,44,115085.40909090909,5063758,16982.21395202855,0.0,0.0,Heikki Kovalainen,6,15,3.0,1,13,1
12,6,44,115573.54545454546,5085236,16769.586445587298,0.0,0.0,Kazuki Nakajima,13,18,0.0,1,13,2
12,8,44,114340.79545454546,5030995,17713.211958519005,0.0,0.0,Kimi Räikkönen,1,6,10.0,1,13,0
12,9,44,114567.29545454546,5040961,17512.434980812588,0.0,0.0,Robert Kubica,4,5,5.0,1,13,1
